2024-05-02 10:58:02 | INFO | gradio_web_server | Models: ['Intel/neural-chat-7b-v3-1']
2024-05-02 10:58:03 | ERROR | stderr | /autodl-fs/data/auto-testing/intel/textbot/frontend/app.py:593: GradioDeprecationWarning: The `style` method is deprecated. Please set these arguments in the constructor instead.
2024-05-02 10:58:03 | ERROR | stderr |   model_selector = gr.Dropdown(
2024-05-02 10:58:03 | ERROR | stderr | /autodl-fs/data/auto-testing/intel/textbot/frontend/app.py:600: GradioDeprecationWarning: The `style` method is deprecated. Please set these arguments in the constructor instead.
2024-05-02 10:58:03 | ERROR | stderr |   chatbot = gr.Chatbot(elem_id="chatbot", visible=False).style(height=550)
2024-05-02 10:58:03 | ERROR | stderr | /autodl-fs/data/auto-testing/intel/textbot/frontend/app.py:603: GradioDeprecationWarning: The `style` method is deprecated. Please set these arguments in the constructor instead.
2024-05-02 10:58:03 | ERROR | stderr |   textbox = gr.Textbox(
2024-05-02 10:58:03 | INFO | stdout | Running on local URL:  http://0.0.0.0:80
2024-05-02 10:58:03 | INFO | stdout | 
2024-05-02 10:58:03 | INFO | stdout | To create a public link, set `share=True` in `launch()`.
2024-05-02 11:00:51 | INFO | stdout | Keyboard interruption in main thread... closing server.
2024-05-02 11:01:45 | INFO | gradio_web_server | Models: ['Intel/neural-chat-7b-v3-1']
2024-05-02 11:01:45 | ERROR | stderr | /autodl-fs/data/auto-testing/intel/textbot/frontend/app.py:593: GradioDeprecationWarning: The `style` method is deprecated. Please set these arguments in the constructor instead.
2024-05-02 11:01:45 | ERROR | stderr |   model_selector = gr.Dropdown(
2024-05-02 11:01:45 | ERROR | stderr | /autodl-fs/data/auto-testing/intel/textbot/frontend/app.py:600: GradioDeprecationWarning: The `style` method is deprecated. Please set these arguments in the constructor instead.
2024-05-02 11:01:45 | ERROR | stderr |   chatbot = gr.Chatbot(elem_id="chatbot", visible=False).style(height=550)
2024-05-02 11:01:45 | ERROR | stderr | /autodl-fs/data/auto-testing/intel/textbot/frontend/app.py:603: GradioDeprecationWarning: The `style` method is deprecated. Please set these arguments in the constructor instead.
2024-05-02 11:01:45 | ERROR | stderr |   textbox = gr.Textbox(
2024-05-02 11:01:45 | INFO | stdout | Running on local URL:  http://0.0.0.0:7860
2024-05-02 11:01:45 | INFO | stdout | 
2024-05-02 11:01:45 | INFO | stdout | To create a public link, set `share=True` in `launch()`.
2024-05-02 11:06:24 | INFO | gradio_web_server | load_demo. ip: 127.0.0.1. params: {}
2024-05-02 11:06:50 | INFO | gradio_web_server | load_demo. ip: 127.0.0.1. params: {}
2024-05-02 11:07:49 | INFO | gradio_web_server | load_demo. ip: 127.0.0.1. params: {}
2024-05-02 11:08:05 | INFO | gradio_web_server | add_text. ip: 127.0.0.1. len: 2
2024-05-02 11:08:05 | INFO | gradio_web_server | http_bot. ip: 127.0.0.1
2024-05-02 11:08:05 | INFO | gradio_web_server | ==== request ====
{'model': 'Intel/neural-chat-7b-v3-1', 'messages': [{'role': 'system', 'content': '### System:\n    - You are a helpful assistant chatbot trained by Intel.\n    - You answer questions.\n    - You are excited to be able to help the user, but will refuse to do anything that could be considered harmful to the user.\n    - You are more than just an information source, you are also able to write poetry, short stories, and make jokes.</s>\n'}, {'role': 'user', 'content': '你好'}], 'temperature': 0.001, 'top_p': 0.95, 'max_tokens': 512, 'stream': True}
2024-05-02 11:08:24 | INFO | gradio_web_server | 你 也 好 ，我 是 一个 友 善 的 助 手 ，愿 意 帮 助 你 解 决 问 题 或 提 供 信 息 。如 果 你 需 要 任 何 东 西 ，请 随 时 告 诉 我 。我 们 可 以 聊 天 、写 诗 、讲 故 事 或 甚 至 幽 默 起 来 。
2024-05-02 11:08:58 | INFO | gradio_web_server | add_text. ip: 127.0.0.1. len: 11
2024-05-02 11:08:58 | INFO | gradio_web_server | http_bot. ip: 127.0.0.1
2024-05-02 11:08:58 | INFO | gradio_web_server | ==== request ====
{'model': 'Intel/neural-chat-7b-v3-1', 'messages': [{'role': 'system', 'content': '### System:\n    - You are a helpful assistant chatbot trained by Intel.\n    - You answer questions.\n    - You are excited to be able to help the user, but will refuse to do anything that could be considered harmful to the user.\n    - You are more than just an information source, you are also able to write poetry, short stories, and make jokes.</s>\n'}, {'role': 'user', 'content': '你好'}, {'role': 'assistant', 'content': '你 也 好 ，我 是 一个 友 善 的 助 手 ，愿 意 帮 助 你 解 决 问 题 或 提 供 信 息 。如 果 你 需 要 任 何 东 西 ，请 随 时 告 诉 我 。我 们 可 以 聊 天 、写 诗 、讲 故 事 或 甚 至 幽 默 起 来 。'}, {'role': 'user', 'content': '你可以帮我生成代码吗？'}], 'temperature': 0.001, 'top_p': 0.95, 'max_tokens': 512, 'stream': True}
